source_catalog,target_name,ra_deg,dec_deg,source_priority,is_secondary_source,catalog_caution,phase2_sample_status,tic_id,gaia_dr3_source_id,simbad_main_id,crossmatch_status,recno,Name,f_Name,RAJ2000,DEJ2000,SpT,T*,R*,Td1,Rd1,Tdt2,Rd2,Tau,Dist,f_Dist,Num,Start,IRS?,Ref,TYC,WISEA,Simbad,vizier_catalog_id,vizier_table,Cat,W1,e_W1,pW1,W2,e_W2,pW2,W3,e_W3,pW3,W4,e_W4,pW4,IRAS12,e_IRAS12,pIRAS12,IRAS25,e_IRAS25,pIRAS25,IRAS60,e_IRAS60,pIRAS60,IRAS100,e_IRAS100,pIRAS100,MIPS24,e_MIPS24,r_MIPS24,pMIPS24,MIPS70,e_MIPS70,r_MIPS70,pMIPS70,MIPS160,e_MIPS160,r_MIPS160,pMIPS160,PACS70,e_PACS70,r_PACS70,pPACS70,PACS100,e_PACS100,r_PACS100,pPACS100,PACS160,e_PACS160,r_PACS160,pPACS160,SPIRE250,e_SPIRE250,r_SPIRE250,pSPIRE250,SPIRE350,e_SPIRE350,r_SPIRE350,pSPIRE350,SPIRE500,e_SPIRE500,r_SPIRE500,pSPIRE500,IRCat,BibCode,Comm,HIP,HD,SpType,Av,Teff,log(g),L*,M*,f_M*,Age,Assoc,l_F13,F13,e_F13,F24,e_F24,r_F24,l_F31,F31,e_F31,l_F70,F70,e_F70,r_F70,F13/F*,F24/F*,F31/F*,F70/F*,[13-31],[31-70],amin,l_logP0,logP0,f_logP0,l_logP1,logP1,f_logP1,l_logP2,logP2,Tgr,E_Tgr,e_Tgr,D,LIR/L*,E_LIR/L*,e_LIR/L*,Md,1chi2,Tgr1,E_Tgr1,e_Tgr1,D1,LIR/L*1,Md1,Tgr2,E_Tgr2,e_Tgr2,D2,LIR2/L*,Md2,2chi2,_RA,_DE,Aut,GLON,GLAT,dplx,AV,e_AV,e_Teff,L,e_L/L,Rad,logg,T(AV),L(AV),T(ABJ),L(ABJ),Q,N(SED),N(Opt),N(NIR),N(MIR),R(SED),R(Opt),R(NIR),R(MIR),X(MIR),X'(MIR),S(MIR),Rmax,f(XS),l(XS),Fom(BT),Fom(B),Fom(g),Fom(VT),Fom(V),Fom(r),Fom(i),Fom(I),Fom(z),Fom(J),Fom(H),Fom(Ks),Fom(W1),Fom(W2),Fom(A9),Fom(W3),Fom(I12),Fom(A18),Fom(W4),Fom(I25),F(BT),F(B),F(g),F(VT),F(V),F(r),F(i),F(I),F(z),F(J),F(H),F(Ks),F(W1),F(W2),F(A9),F(W3),F(I12),F(A18),F(W4),F(I25),Gaia,L(Av),L(XS),G/H,Fom(U),Fom(u),Fom(Hp),Fom(L),Fom(MA),Fom(MC),Fom(MD),Fom(ME),F(U),F(u),F(Hp),F(L),F(MA),F(MC),F(MD),F(ME),ID,AltName,Otype,Otypes,Qual,sample_role,sample_is_preliminary
Cotten & Song 2016,10 Tau,54.21825,0.40163888888888893,1,False,,development_target,,,,not_attempted,66,10 Tau,,03 36 52.38,+00 24 05.9,F9IV-V,6150.0,1.56,105.0,12.3,,,0.15,13.96,,2.0,60.0,Y,Decin et al. 2000,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,12 Per,40.562083333333334,40.19344444444444,1,False,,development_target,,,,not_attempted,83,12 Per,,02 42 14.90,+40 11 36.4,F9V,6410.0,1.79,200.0,4.3,,,1.09,24.18,,1.0,22.0,N,Koerner et al. 2010,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,26 And,4.675666666666666,43.79108333333333,1,False,,development_target,,,,not_attempted,12,26 And,,00 18 42.16,+43 47 27.9,B8V,10850.0,3.76,75.0,169.3,,,2.45,202.83,,2.0,22.0,N,Wyatt et al. 2007,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,2MASS J01203226-1128035,20.134791666666665,-11.468111111111112,1,False,,development_target,,,,not_attempted,25,2MASS J01203226-1128035,,01 20 32.35,-11 28 05.2,G9V,5500.0,0.75,300.0,0.5,,,1.96,34.39,,1.0,22.0,Y,Carpenter et al. 2009,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,33 Ari,40.17133333333333,27.060861111111112,1,False,,development_target,,,,not_attempted,50,33 Ari,,02 40 41.12,+27 03 39.1,A2/3V,8450.0,2.56,95.0,47.1,,,0.17,70.97,,1.0,22.0,Y,Trilling et al. 2007,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,39 Psc,4.458958333333333,16.330916666666667,1,False,,development_target,,,,not_attempted,11,39 Psc,,00 17 50.15,+16 19 51.3,F6V,6400.0,1.18,200.0,2.8,,,0.32,44.82,,1.0,22.0,N,Mizusawa et al. 2012,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,41 Ari,42.49633333333333,27.26025,1,False,,development_target,,,,not_attempted,53,41 Ari,,02 49 59.12,+27 15 36.9,B8V,11840.0,2.73,265.0,12.6,,,0.24,50.78,,1.0,22.0,Y,Rieke et al. 2005,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,49 Cet,23.657666666666668,-15.67636111111111,1,False,,development_target,,,,not_attempted,28,49 Cet,,01 34 37.84,-15 40 34.9,A1V,8670.0,1.77,180.0,9.6,65,73.64,11.14,59.38,,8.0,22.0,Y,Oudmaijer et al. 1992,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,50 Cas,30.858416666666663,72.42133333333334,1,False,,development_target,,,,not_attempted,60,50 Cas,,02 03 26.02,+72 25 16.8,A2V,9120.0,2.86,300.0,6.1,,,0.25,48.16,,1.0,22.0,Y,Rieke et al. 2005,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,50 Per,62.15320833333334,38.03916666666667,1,False,,development_target,,,,not_attempted,88,50 Per,,04 08 36.77,+38 02 21.0,F7V,6360.0,1.2,270.0,1.5,40,70.69,1.15,20.99,,2.0,22.0,Y,Beichman et al. 2006,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
