pair_id,sample_role,tic_id,target_name,sector_or_product,event_time_btjd,depth_ppm,local_snr,duration_hours,fwhm_hours,ingress_duration_hours,egress_duration_hours,egress_ingress_ratio,skewness,kurtosis,delta_chi2_asym,n_points_window,edge_event,single_point_like,detector_version,n_lc_points,ml_score,quality_score,final_candidate_score,ranker_version,flag_low_snr,flag_edge_event,flag_single_point_like,flag_likely_flare_shape,flag_low_delta_chi2,flag_poor_asymmetry_fit,needs_manual_review,automated_vetting_status,eb_catalog_check_status,vsx_check_status,simbad_check_status,vetter_version,ra_deg,dec_deg,vsx_match_name,vsx_variable_type,vsx_sep_arcsec,simbad_main_id,simbad_otype,simbad_otypes,simbad_sep_arcsec,tess_eb_check_status,tess_eb_match_id,tess_eb_sep_arcsec,external_false_positive_flag,external_vetting_notes,external_vetter_version,flag_external_catalog_match,inspection_reason,recommended_review_priority
12,control,444335503,TIC 444335503,TIC 444335503,2879.339676684507,17908.990383148193,29.54005058882242,1.1555610716277442,1.1496438519134244,0.5055579803629371,0.6500030912648072,1.285714233604173,-3.646690834299387,12.966155391322111,367.32025061512377,4316,False,False,phase3_v1,107878,0.92270243,0.7171428540162503,0.8482083574458862,phase4_v1,False,False,False,False,False,False,False,pass,not_attempted,not_found,matched,phase5_v1,5.97161160524547,60.9613876577015,,,,HD   1917,SB*,,0.0069666410365936,not_found,,,no_external_match,"SIMBAD: HD   1917 otype=SB* (0.0"")",phase5c_v1,False,"overtriggered_top5,pass_vetting",overtriggered_review
12,control,444335503,TIC 444335503,TIC 444335503,2869.7229088177373,17977.893352508545,20.458490384409817,1.161129605359747,1.155064237624174,0.5500087636537501,0.611120841705997,1.1111110987509996,-3.4951497630249824,12.051898046695667,124.86323132746656,4317,False,False,phase3_v1,107878,0.92270243,0.70666666592506,0.84401788220941,phase4_v1,False,False,False,False,False,False,False,pass,not_attempted,not_found,matched,phase5_v1,5.97161160524547,60.9613876577015,,,,HD   1917,SB*,,0.0069666410365936,not_found,,,no_external_match,"SIMBAD: HD   1917 otype=SB* (0.0"")",phase5c_v1,False,"overtriggered_top5,pass_vetting",overtriggered_review
12,control,444335503,TIC 444335503,TIC 444335503,2876.936189346549,17997.324466705322,33.95450356288105,1.1444533238754957,1.1401466393908777,0.5444486788364884,0.6000046450390073,1.1020407769585272,-3.658189282885627,12.933533921932089,456.038384606456,4315,False,False,phase3_v1,107878,0.92270243,0.7061224466175117,0.8438001944863907,phase4_v1,False,False,False,False,False,False,False,pass,not_attempted,not_found,matched,phase5_v1,5.97161160524547,60.9613876577015,,,,HD   1917,SB*,,0.0069666410365936,not_found,,,no_external_match,"SIMBAD: HD   1917 otype=SB* (0.0"")",phase5c_v1,False,"overtriggered_top5,pass_vetting",overtriggered_review
3,target,229012143,HD 203,TIC 229012143,1366.32740824016,801.6526699066162,3.963977919851635,0.1333355271744949,0.1140975768739736,0.0333338790023844,0.1000016481721104,3.0000003349432256,-0.2542359476793349,-0.0129450436174312,37.07322228737144,682,False,False,phase3_v1,18290,0.9214674,0.3910620822083457,0.6567983238013676,phase4_v1,True,False,False,False,False,False,True,flagged,not_attempted,not_found,matched,phase5_v1,1.7090416666666668,-23.10761111111111,,,,HD    203,PM*,,1.182127167496498,not_found,,,no_external_match,"SIMBAD: HD    203 otype=PM* (1.2"")",phase5c_v1,False,"medium_priority,target_top_event",medium
22,control,234309613,TIC 234309613,TIC 234309613,1347.6699430554995,415.8914089202881,4.618507629291407,0.066666841157712,0.027325418222972,0.0333334205843129,0.033333420573399,0.9999999996725828,-0.5522957939982479,1.1952048280629013,-4.315177698602952,534,False,False,phase3_v1,18270,0.9214674,0.2078328433181133,0.5900519253396723,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,35.4372525532317,-68.6594136153249,,,,* del Hyi,PM*,,0.020302228804768,not_found,,,no_external_match,"SIMBAD: * del Hyi otype=PM* (0.0"")",phase5c_v1,False,medium_priority,medium
22,control,234309613,TIC 234309613,TIC 234309613,1348.3380001753526,484.6453666687012,4.4769668288197515,0.0666668076300993,0.0468824607942224,0.0333334038041357,0.0333334038259636,1.0000000006548349,-0.139507366495239,0.9731907548011688,-5.164101139430613,313,False,False,phase3_v1,18270,0.9214674,0.2014635073361789,0.586088782942182,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,35.4372525532317,-68.6594136153249,,,,* del Hyi,PM*,,0.020302228804768,not_found,,,no_external_match,"SIMBAD: * del Hyi otype=PM* (0.0"")",phase5c_v1,False,medium_priority,medium
22,control,234309613,TIC 234309613,TIC 234309613,1351.1713362899814,250.399112701416,2.9302333821728817,0.0666666511679068,0.0386732036604371,0.0333333255894103,0.0333333255784964,0.9999999996725818,0.0461756978090531,0.0951425266904073,5.4591667038587275,709,False,False,phase3_v1,18270,0.9214674,0.1455084189574265,0.5482394131242124,phase4_v1,True,False,False,True,False,True,True,flagged,not_attempted,not_found,matched,phase5_v1,35.4372525532317,-68.6594136153249,,,,* del Hyi,PM*,,0.020302228804768,not_found,,,no_external_match,"SIMBAD: * del Hyi otype=PM* (0.0"")",phase5c_v1,False,medium_priority,medium
22,control,234309613,TIC 234309613,TIC 234309613,1343.9657622168036,421.5836524963379,6.535168687367065,0.0666670031750982,0.0378060071725485,0.0333334988044953,0.0333335043706028,1.0000001669823984,-0.4053896224989079,1.7690108717059116,-8.49256498695911,702,False,True,phase3_v1,18270,0.9214674,0.0440826009504618,0.3937184389733683,phase4_v1,False,False,True,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,35.4372525532317,-68.6594136153249,,,,* del Hyi,PM*,,0.020302228804768,not_found,,,no_external_match,"SIMBAD: * del Hyi otype=PM* (0.0"")",phase5c_v1,False,medium_priority,medium
12,control,444335503,TIC 444335503,TIC 444335503,2874.5322320879586,17551.541328430176,26.446683885490692,1.1777902463109058,1.1704149470424454,0.5666726735471457,0.6111175727637601,1.0784313436863069,-3.164791497319183,9.336806962389383,316.12190537779315,3417,False,False,phase3_v1,107878,0.92270243,0.7047058806211784,0.8432335680878574,phase4_v1,False,False,False,False,False,True,True,flagged,not_attempted,not_found,matched,phase5_v1,5.97161160524547,60.9613876577015,,,,HD   1917,SB*,,0.0069666410365936,not_found,,,no_external_match,"SIMBAD: HD   1917 otype=SB* (0.0"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
12,control,444335503,TIC 444335503,TIC 444335503,2872.1289625952472,17939.329147338867,28.395976061153984,1.1389040684443898,1.1355085358081851,0.5888967464234156,0.5500073220209742,0.9339622359290808,-3.581714901963732,12.523199405771203,285.22384708261507,4314,False,False,phase3_v1,107878,0.92270243,0.7,0.841351215839386,phase4_v1,False,False,False,False,False,True,True,flagged,not_attempted,not_found,matched,phase5_v1,5.97161160524547,60.9613876577015,,,,HD   1917,SB*,,0.0069666410365936,not_found,,,no_external_match,"SIMBAD: HD   1917 otype=SB* (0.0"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
22,target,63790159,gam Tri,TIC 63790159,1792.671793898932,1005.9475898742676,10.292387475304247,0.0666667167715786,0.0257146127805754,0.0333333528033108,0.0333333639682678,1.0000003349485131,-1.167458074188983,8.106962835104875,-3.199043292346687,711,False,False,phase3_v1,14756,0.9214674,0.4500000200969108,0.7407337197582773,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,34.32883333333333,33.84711111111111,,,,* gam Tri,PM*,,0.7257198156500323,not_found,,,no_external_match,"SIMBAD: * gam Tri otype=PM* (0.7"")",phase5c_v1,False,"overtriggered_top5,target_top_event",overtriggered_review
22,target,63790159,gam Tri,TIC 63790159,1804.492516272379,1134.932041168213,10.176686649123496,0.0666655209861346,0.0328773874534817,0.0333327604821533,0.0333327605039812,1.0000000006548475,-1.2037744112643396,6.6478079896738205,-5.21331727103825,709,False,False,phase3_v1,14756,0.9214674,0.4500000000392908,0.7407337117352293,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,34.32883333333333,33.84711111111111,,,,* gam Tri,PM*,,0.7257198156500323,not_found,,,no_external_match,"SIMBAD: * gam Tri otype=PM* (0.7"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
27,target,436840249,33 Ari,TIC 436840249,1804.49276382728,3491.044044494629,9.000894003769465,0.0666657892070361,0.0376759914724971,0.0333328945926041,0.033332894614432,1.0000000006548448,-0.92032611824023,6.335822241588813,1.2047646918443888,714,False,False,phase3_v1,14739,0.92270243,0.4080521419385275,0.7145810126524916,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False,"overtriggered_top5,target_top_event",overtriggered_review
27,target,436840249,33 Ari,TIC 436840249,1805.0816444276832,3322.5417137145996,8.272417690979944,0.0666656662506284,0.0376894453438581,0.0333328387350775,0.0333328275155508,0.9999996634092064,-0.4252033910594645,5.074130169820403,-1.2814530315539514,713,False,False,phase3_v1,14739,0.92270243,0.3722587960940975,0.6929789111868245,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
27,target,436840249,33 Ari,TIC 436840249,1804.8247037405329,3418.5051918029785,8.101375608012809,0.0666656662506284,0.0387780126475263,0.0333328387350775,0.0333328275155508,0.9999996634092064,-0.8101994347058414,5.778166267504821,-10.133300687439371,716,False,False,phase3_v1,14739,0.92270243,0.3645619023605764,0.6881897328637446,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
27,target,436840249,33 Ari,TIC 436840249,1809.3579461749168,2964.6754264831543,7.999164493468377,0.0999974991354974,0.0595032845722016,0.0666649956983747,0.0333325034371227,0.5000000838211327,-0.9461670836278904,4.444905304052233,-57.55326583424301,709,False,False,phase3_v1,14739,0.92270243,0.3599624022060769,0.6853278216565006,phase4_v1,False,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
27,target,436840249,33 Ari,TIC 436840249,1791.6580967998948,2532.2437286376953,7.795175578238213,0.0666673202467791,0.0371183279949036,0.0333336545299971,0.0333336657167819,1.000000335600311,-0.7605330786011834,4.510114013941513,-71.62121531338039,553,False,False,phase3_v1,14739,0.92270243,0.3507829211567383,0.6796161400844635,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
22,target,63790159,gam Tri,TIC 63790159,1805.0091735876472,1071.6915130615234,6.985797151721878,0.066665398018813,0.0569736433080834,0.0333327045918849,0.033332693426928,0.9999996650449732,-0.7022069516355502,2.1476598585568105,10.576202919917591,701,False,False,phase3_v1,14756,0.9214674,0.3408013791272785,0.6669122348876431,phase4_v1,False,False,False,False,False,True,True,flagged,not_attempted,not_found,matched,phase5_v1,34.32883333333333,33.84711111111111,,,,* gam Tri,PM*,,0.7257198156500323,not_found,,,no_external_match,"SIMBAD: * gam Tri otype=PM* (0.7"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
22,target,63790159,gam Tri,TIC 63790159,1805.331389573337,1038.7897491455078,6.957694558246878,0.066665398018813,0.0552245080980355,0.0333327045918849,0.033332693426928,0.9999996650449732,-0.6771442485303562,2.1238364753901395,-1.1417392767529009,704,False,False,phase3_v1,14756,0.9214674,0.3130962551211095,0.6555491593504256,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,34.32883333333333,33.84711111111111,,,,* gam Tri,PM*,,0.7257198156500323,not_found,,,no_external_match,"SIMBAD: * gam Tri otype=PM* (0.7"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
22,target,63790159,gam Tri,TIC 63790159,1791.6537361716448,1005.3515434265136,6.1795956763127275,0.0666669067722978,0.0423419871858641,0.0333334533861489,0.0333334533861489,1.0,1.4210334325861578,3.571752143481141,13.355962274499916,551,False,False,phase3_v1,14756,0.9214674,0.3114717111203225,0.6471183529307692,phase4_v1,False,False,False,False,False,True,True,flagged,not_attempted,not_found,matched,phase5_v1,34.32883333333333,33.84711111111111,,,,* gam Tri,PM*,,0.7257198156500323,not_found,,,no_external_match,"SIMBAD: * gam Tri otype=PM* (0.7"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
26,control,417236897,TIC 417236897,TIC 417236897,1965.503266277209,1652.7175903320312,5.375763086739589,0.0666654188098618,0.037317383717891,0.033332709394017,0.0333327094158448,1.0000000006548484,-0.0675438504740817,1.0981535863124954,-0.0325011146582028,705,False,False,phase3_v1,18197,0.9214674,0.2419093389425724,0.6112550781639379,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,17.7113956128308,67.7801243887217,,,,HD   6840,**,,0.0319440727134336,not_found,,,no_external_match,"SIMBAD: HD   6840 otype=** (0.0"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
5,target,194503676,sig And,TIC 194503676,1766.374064807063,548.1243133544922,4.494650017497659,0.1000003924636985,0.0515745479424367,0.0333334641472902,0.0666669283164083,2.0000000006548335,-0.2823925027763844,0.7038638574855471,0.5617448865647248,702,False,False,phase3_v1,13096,0.9214674,0.2636636130430965,0.6111456571117281,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,matched,matched,phase5_v1,4.581666666666666,36.78511111111111,NSV 118,,0.8312036119744395,* sig And,PM*,,0.8011781839582733,not_found,,,known_variable_match,"VSX: NSV 118 type= (0.8""); SIMBAD: * sig And otype=PM* (0.8"")",phase5c_v1,True,"overtriggered_top5,target_top_event",overtriggered_review
26,control,417236897,TIC 417236897,TIC 417236897,1965.8254823841287,1632.9288482666016,5.3529399903304755,0.0666654188098618,0.0368705656546808,0.033332709394017,0.0333327094158448,1.0000000006548484,-0.0614143697637652,1.2391969191394194,-16.87486144557829,701,False,False,phase3_v1,18197,0.9214674,0.2408822996041623,0.6106160314644826,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,17.7113956128308,67.7801243887217,,,,HD   6840,**,,0.0319440727134336,not_found,,,no_external_match,"SIMBAD: HD   6840 otype=** (0.0"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
26,control,417236897,TIC 417236897,TIC 417236897,1966.2240860970317,1610.398292541504,5.218611494713244,0.0666654188098618,0.0363618390565534,0.033332709394017,0.0333327094158448,1.0000000006548484,-0.0411439390566424,1.2914112395386343,-11.8234378712732,701,False,False,phase3_v1,18197,0.9214674,0.2348375173013868,0.6068548335872002,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,17.7113956128308,67.7801243887217,,,,HD   6840,**,,0.0319440727134336,not_found,,,no_external_match,"SIMBAD: HD   6840 otype=** (0.0"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
