tic_id,event_time_btjd,sample_role,target_name,recommended_review_priority,inspection_reason,local_snr,final_candidate_score,depth_ppm,duration_hours,automated_vetting_status,external_false_positive_flag,manual_label,reviewer_name,review_date,visual_event_quality,likely_artifact_reason,notes,followup_priority
444335503,2879.339676684507,control,TIC 444335503,overtriggered_review,"overtriggered_top5,pass_vetting",29.54005058882242,0.8482083574458862,17908.990383148193,1.1555610716277442,pass,no_external_match,,,,,,,
444335503,2869.7229088177373,control,TIC 444335503,overtriggered_review,"overtriggered_top5,pass_vetting",20.458490384409817,0.84401788220941,17977.893352508545,1.161129605359747,pass,no_external_match,,,,,,,
444335503,2876.936189346549,control,TIC 444335503,overtriggered_review,"overtriggered_top5,pass_vetting",33.95450356288105,0.8438001944863907,17997.324466705322,1.1444533238754957,pass,no_external_match,,,,,,,
229012143,1366.32740824016,target,HD 203,medium,"medium_priority,target_top_event",3.963977919851635,0.6567983238013676,801.6526699066162,0.1333355271744949,flagged,no_external_match,,,,,,,
234309613,1347.6699430554995,control,TIC 234309613,medium,medium_priority,4.618507629291407,0.5900519253396723,415.8914089202881,0.066666841157712,flagged,no_external_match,,,,,,,
234309613,1348.3380001753526,control,TIC 234309613,medium,medium_priority,4.4769668288197515,0.586088782942182,484.6453666687012,0.0666668076300993,flagged,no_external_match,,,,,,,
234309613,1351.1713362899814,control,TIC 234309613,medium,medium_priority,2.9302333821728817,0.5482394131242124,250.399112701416,0.0666666511679068,flagged,no_external_match,,,,,,,
234309613,1343.9657622168036,control,TIC 234309613,medium,medium_priority,6.535168687367065,0.3937184389733683,421.5836524963379,0.0666670031750982,flagged,no_external_match,,,,,,,
444335503,2874.5322320879586,control,TIC 444335503,overtriggered_review,overtriggered_top5,26.446683885490692,0.8432335680878574,17551.541328430176,1.1777902463109058,flagged,no_external_match,,,,,,,
444335503,2872.1289625952472,control,TIC 444335503,overtriggered_review,overtriggered_top5,28.395976061153984,0.841351215839386,17939.329147338867,1.1389040684443898,flagged,no_external_match,,,,,,,
63790159,1792.671793898932,target,gam Tri,overtriggered_review,"overtriggered_top5,target_top_event",10.292387475304247,0.7407337197582773,1005.9475898742676,0.0666667167715786,flagged,no_external_match,,,,,,,
63790159,1804.492516272379,target,gam Tri,overtriggered_review,overtriggered_top5,10.176686649123496,0.7407337117352293,1134.932041168213,0.0666655209861346,flagged,no_external_match,,,,,,,
436840249,1804.49276382728,target,33 Ari,overtriggered_review,"overtriggered_top5,target_top_event",9.000894003769465,0.7145810126524916,3491.044044494629,0.0666657892070361,flagged,no_external_match,,,,,,,
436840249,1805.0816444276832,target,33 Ari,overtriggered_review,overtriggered_top5,8.272417690979944,0.6929789111868245,3322.5417137145996,0.0666656662506284,flagged,no_external_match,,,,,,,
436840249,1804.8247037405329,target,33 Ari,overtriggered_review,overtriggered_top5,8.101375608012809,0.6881897328637446,3418.5051918029785,0.0666656662506284,flagged,no_external_match,,,,,,,
436840249,1809.3579461749168,target,33 Ari,overtriggered_review,overtriggered_top5,7.999164493468377,0.6853278216565006,2964.6754264831543,0.0999974991354974,flagged,no_external_match,,,,,,,
436840249,1791.6580967998948,target,33 Ari,overtriggered_review,overtriggered_top5,7.795175578238213,0.6796161400844635,2532.2437286376953,0.0666673202467791,flagged,no_external_match,,,,,,,
63790159,1805.0091735876472,target,gam Tri,overtriggered_review,overtriggered_top5,6.985797151721878,0.6669122348876431,1071.6915130615234,0.066665398018813,flagged,no_external_match,,,,,,,
63790159,1805.331389573337,target,gam Tri,overtriggered_review,overtriggered_top5,6.957694558246878,0.6555491593504256,1038.7897491455078,0.066665398018813,flagged,no_external_match,,,,,,,
63790159,1791.6537361716448,target,gam Tri,overtriggered_review,overtriggered_top5,6.1795956763127275,0.6471183529307692,1005.3515434265136,0.0666669067722978,flagged,no_external_match,,,,,,,
417236897,1965.503266277209,control,TIC 417236897,overtriggered_review,overtriggered_top5,5.375763086739589,0.6112550781639379,1652.7175903320312,0.0666654188098618,flagged,no_external_match,,,,,,,
