injection_id,sample_role,tic_id,sector_or_product,injected_event_time_btjd,injected_depth_ppm,injected_ingress_hours,injected_egress_hours,injected_asymmetry_ratio,recovered,recovered_event_time_btjd,timing_error_hours,recovered_depth_ppm,recovered_local_snr,recovery_tolerance_hours,noise_mad,injector_version,detector_version
0,control,428612809,TIC 428612809,2896.6662018819084,639.3142970406542,1.6895128225474785,4.08589967573286,2.4183892665413844,True,2896.674428353134,0.19743530941195786,1168.1954927430515,4.432334238794236,3.0,0.00025530048608779905,phase3_v1,phase3_v1
1,control,428612809,TIC 428612809,2898.174970252175,2632.315775766844,5.398570236263787,10.200129425380114,1.8894131184703016,True,2898.2063719794364,0.7536414542701095,2361.740430335435,2.4396741059102642,3.0,0.00025530048608779905,phase3_v1,phase3_v1
2,control,428612809,TIC 428612809,2894.1201532854857,4541.9008755086215,6.246333999009299,24.0,3.84225371294691,True,2894.110538209365,0.23076182689328562,2204.683212717717,1.2450423564787925,3.0,0.00025530048608779905,phase3_v1,phase3_v1
3,control,428612809,TIC 428612809,2907.092427207071,1384.250338956861,6.106387845856819,24.0,3.930310456169925,True,2907.178555187714,2.067071535435389,1081.8500729633529,2.004642357554739,3.0,0.00025530048608779905,phase3_v1,phase3_v1
4,control,428612809,TIC 428612809,2901.743749980837,2316.341181303945,1.341164814664994,10.724939139121512,7.996734645771681,True,2901.78414322699,0.9694379076754558,2215.5644626304925,3.934635658496872,3.0,0.00025530048608779905,phase3_v1,phase3_v1
5,control,428612809,TIC 428612809,2897.468959321989,2008.5057670514618,2.207249012009725,9.161320734472705,4.150560577726217,True,2897.475816776802,0.16457891550453496,2104.686591019922,4.3580596276792365,3.0,0.00025530048608779905,phase3_v1,phase3_v1
6,control,428612809,TIC 428612809,2890.8094128092785,1172.3070356634043,4.635206627854163,5.5947249422640395,1.207006589230323,True,2890.811911683402,0.05997297896101372,1453.7167088065628,4.398067280809918,3.0,0.00025530048608779905,phase3_v1,phase3_v1
7,control,428612809,TIC 428612809,2900.854075266055,2637.9859234868686,7.3445138645871895,12.006542234633026,1.634763369775172,True,2900.873034773986,0.45502819034300046,1930.147273709326,1.7039537724838714,3.0,0.00025530048608779905,phase3_v1,phase3_v1
8,control,428612809,TIC 428612809,2903.812250568066,4226.329887372213,5.6605725444352535,21.275536058710316,3.7585484315761812,True,2903.813301177716,0.025214631601556903,2225.3426356176888,1.9507444531858733,3.0,0.00025530048608779905,phase3_v1,phase3_v1
9,control,428612809,TIC 428612809,2898.5451890014065,308.6453642242066,7.849484109454965,20.457197255141597,2.606183663777371,False,,,,,3.0,0.00025530048608779905,phase3_v1,phase3_v1
10,control,115598451,TIC 115598451,1776.3078902877712,2628.810626693708,7.471122173679369,23.841791175044307,3.1911927848052755,False,,,,,3.0,0.0018647804975509643,phase3_v1,phase3_v1
11,control,115598451,TIC 115598451,1786.4278489352314,2612.356417035708,1.1104567396874496,1.8505455866126272,1.6664724707182055,False,,,,,3.0,0.0018647804975509643,phase3_v1,phase3_v1
12,control,115598451,TIC 115598451,1780.270974358057,2932.430594837477,6.9708022986846885,12.21408654872968,1.7521780170174013,False,,,,,3.0,0.0018647804975509643,phase3_v1,phase3_v1
13,control,115598451,TIC 115598451,1785.2177496590787,4917.957039311996,4.632189285437041,24.0,5.181135424550258,False,,,,,3.0,0.0018647804975509643,phase3_v1,phase3_v1
14,control,115598451,TIC 115598451,1785.2770156056522,1366.7933469236484,2.200245428635437,8.148669577853427,3.703527557335785,False,,,,,3.0,0.0018647804975509643,phase3_v1,phase3_v1
15,control,115598451,TIC 115598451,1777.5166882627655,2651.096914295641,1.4490176670896142,4.257647406031763,2.9382991682795336,False,,,,,3.0,0.0018647804975509643,phase3_v1,phase3_v1
16,control,115598451,TIC 115598451,1770.5007149296766,172.0883535913134,4.150440749679213,21.27933353046405,5.127005735983276,False,,,,,3.0,0.0018647804975509643,phase3_v1,phase3_v1
17,control,115598451,TIC 115598451,1785.8807325310004,3366.5841382275016,7.148750600940718,9.32118691114396,1.3038903483242745,False,,,,,3.0,0.0018647804975509643,phase3_v1,phase3_v1
18,control,115598451,TIC 115598451,1769.2803530615531,1943.9766109549932,3.5267099751632562,11.307797572986603,3.206330447533653,False,,,,,3.0,0.0018647804975509643,phase3_v1,phase3_v1
19,control,115598451,TIC 115598451,1784.3348761437196,3150.9641155671666,3.3102086335848795,4.974444690729621,1.5027586600613787,False,,,,,3.0,0.0018647804975509643,phase3_v1,phase3_v1
20,target,231839456,TIC 231839456,1349.7249975423551,3345.866489222662,2.8212756220761617,17.354964767725026,6.151460223143175,True,1349.7316890676843,0.16059660790051566,2752.110325909163,2.2227397839152148,3.0,0.00039139004945755,phase3_v1,phase3_v1
21,target,231839456,TIC 231839456,1329.517919687286,4956.487937567551,0.8928125875280495,6.564727192473117,7.352861377827374,True,1329.531333342194,0.32192771779591567,5314.658731387256,9.31409141903496,3.0,0.00039139004945755,phase3_v1,phase3_v1
22,target,231839456,TIC 231839456,1340.0735048926604,1281.606606675093,3.9754071713078014,8.29076941915639,2.0855145301830684,True,1340.0773873131404,0.09317809152162226,1468.208684731742,2.663623896889369,3.0,0.00039139004945755,phase3_v1,phase3_v1
23,target,231839456,TIC 231839456,1342.1153882491801,2606.59379123174,5.95281070651216,24.0,4.031708915881512,True,1342.110755031949,0.11119721354407375,2083.082218199084,1.6638688327430449,3.0,0.00039139004945755,phase3_v1,phase3_v1
24,target,231839456,TIC 231839456,1332.5227475206802,393.2216657560961,2.376750246922084,18.945099434533738,7.9710097680931495,False,,,,,3.0,0.00039139004945755,phase3_v1,phase3_v1
25,target,231839456,TIC 231839456,1330.6721276450683,1950.2982325784399,2.6987496445020085,9.147741589771245,3.3896221564706304,True,1330.6785835636351,0.15494204560491198,1972.011459328682,3.270343219394879,3.0,0.00039139004945755,phase3_v1,phase3_v1
